feature,importance
month_12,0.26004576683044434
month_2,0.24287618696689606
month_1,0.16204588115215302
weekday_0,0.06431117653846741
month_7,0.06183147057890892
month_6,0.03725661337375641
weekday_2,0.02849113941192627
week_12,0.020563315600156784
week_10,0.020177176222205162
month_5,0.019937429577112198
weekday_1,0.014285910874605179
week_11,0.010476462543010712
weekday_3,0.00948864221572876
month_11,0.008651317097246647
month_3,0.006580451503396034
month_8,0.005111495032906532
week_13,0.003940387163311243
month_4,0.0032942192628979683
weekday_4,0.0032689326908439398
month_9,0.003056200221180916
weekday_5,0.0025966886896640062
week_9,0.0015772258630022407
week_26,0.0009538621525280178
week_35,0.0007924422970972955
week_39,0.0006774108042009175
weekday_6,0.0006582419155165553
week_5,0.0006114659481681883
week_44,0.0005353847518563271
week_1,0.00040348980110138655
month_10,0.0003791805647779256
week_48,0.000365773361409083
week_17,0.00034196508931927383
week_31,0.0003359729307703674
week_22,0.00029044810798950493
week_18,0.00027358331135474145
week_43,0.0002618823782540858
week_42,0.0002358835336053744
week_15,0.00020485554705373943
week_38,0.00019699415133800358
week_41,0.00017669795488473028
week_45,0.00017402615048922598
week_28,0.0001694865495664999
week_2,0.00015234228339977562
week_52,0.00013102672528475523
week_30,0.0001308001228608191
week_32,0.00012444026651792228
week_29,0.00012133985001128167
week_16,0.00011291461123619229
week_51,9.847024193732068e-05
week_36,8.806505502434447e-05
week_27,8.726339001441374e-05
week_49,8.343110675923526e-05
week_3,8.245194476330653e-05
week_46,8.079988037934527e-05
week_19,7.922668009996414e-05
week_21,7.77539171394892e-05
week_14,7.700816786382347e-05
week_47,7.15475543984212e-05
week_34,6.595414743060246e-05
week_4,6.520881288452074e-05
week_33,6.414036033675075e-05
week_37,5.598300776910037e-05
week_40,4.881445420323871e-05
week_25,4.503190211835317e-05
week_50,4.4239142880542204e-05
week_24,4.0237009670818225e-05
week_20,3.538026794558391e-05
week_7,3.303675111965276e-05
week_6,0.0
week_23,0.0
week_8,0.0
